experiment_id,config_id,run_id,semilla,pasos_totales,gamma,tau,lr_actor,lr_criticos,lr_alpha,tamano_batch,tamano_buffer,pasos_warmup,frecuencia_actualizacion,actualizaciones_por_step,reward_scale,offset_target_entropy,max_concentracion_total_extra,ventana_log_recompensa,frecuencia_log,recompensas_mean_tail,recompensas_std_tail,recompensas_last,perdida_critic1_mean_tail,perdida_critic1_std_tail,perdida_critic1_last,perdida_critic2_mean_tail,perdida_critic2_std_tail,perdida_critic2_last,perdida_actor_mean_tail,perdida_actor_std_tail,perdida_actor_last,alpha_mean_tail,alpha_std_tail,alpha_last,gap_critics_mean_tail,gap_critics_std_tail,gap_critics_last,log_prob_std_mean_tail,log_prob_std_std_tail,log_prob_std_last,concentracion_total_mean_tail,concentracion_total_std_tail,concentracion_total_last,peso_cash_mean_tail,peso_cash_std_tail,peso_cash_last,valor_final,retorno_total,cagr,volatilidad_anual,sharpe,max_drawdown
cfg_460|run=0,cfg_460,0,42,20000,0.87,0.0001,0.0001,0.0001,0.001,256,200000,2000,1,1,10000.0,0.0,10,200,1000,-3.080683468017127e-05,0.008528369354328446,0.0016589924433231045,6658.141239882343,1167.7174366240158,6307.3759765625,6581.552872971253,1136.1518362201475,6189.59033203125,371.79768113669786,9.006876595549928,387.748291015625,7.389056205749512,0.0,7.389056205749512,4.630016648275989,0.3910092772388176,5.112185001373291,0.6101935264583582,0.11311419074813141,0.6404350996017456,13.83408672730022,0.1178571102991334,13.943320274353027,0.08291241318902601,0.00509840273815325,0.07732721418142319,1358.5385600498769,0.35853856004987694,0.07977714698758964,0.07625341054553653,0.8761567350173771,-0.13022707937879696
cfg_495|run=0,cfg_495,0,42,20000,0.9,0.0001,0.0001,0.0005,0.001,64,200000,2000,1,1,10000.0,0.0,10,200,1000,-8.905862798464463e-06,0.009090347570296415,-0.0007388299102513661,5465.34607128931,1626.3415165981803,4818.16650390625,5433.40302854678,1630.4053833027192,4865.0283203125,390.3159658108867,12.01574740664649,406.313232421875,7.389056205749512,0.0,7.389056205749512,11.366452100345379,1.2324667293135003,11.237309455871582,1.111204227291148,0.18358809813965302,0.9347375631332397,16.119448399465035,0.24688882788583918,16.149932861328125,0.07143309483139504,0.008483743503244432,0.05927807092666626,1368.8189548101202,0.36881895481012017,0.08181816387439955,0.0786488840229608,0.8758221984327611,-0.13638817423062088
cfg_050|run=0,cfg_050,0,42,20000,0.9,0.001,5e-05,0.0001,0.0005,256,200000,2000,1,1,2000.0,-1.0,5,200,1000,5.1105261429950644e-05,0.009513205369949136,0.005615612187970387,231.3620265639831,42.17761231363955,257.716552734375,226.97084507044548,41.284484746294446,262.6410827636719,104.63559155126758,2.654239925968899,109.11376953125,0.6109202961100437,0.01806093295036262,0.5967779755592346,1.4457390641338517,0.10113444151668444,1.5471434593200684,1.2368943953864246,0.06562524130431949,1.299020767211914,17.19785213750577,0.14293924700702995,17.443161010742188,0.06877177696083193,0.004995062759316953,0.0702761858701706,1361.5725093022281,0.3615725093022282,0.08038069231058032,0.07700886881401553,0.8755072795982194,-0.13506672531744202
cfg_478|run=0,cfg_478,0,42,20000,0.87,0.001,0.0001,0.0005,0.0005,256,200000,2000,1,1,10000.0,0.0,10,200,1000,0.0003089805402696787,0.00975147505347618,0.0013250478417874462,4364.937989780645,907.9808520639635,4120.46875,4405.148920891918,922.0796529526892,3804.7783203125,1069.550598014149,23.54571266798733,1107.865234375,7.389056205749512,0.0,7.389056205749512,21.792221881678014,1.2580828946981057,23.802703857421875,1.461760057594493,0.08420675482769559,1.3608285188674927,19.74853189160254,0.16763678818956806,19.616456985473633,0.08481382209563924,0.006871330470228517,0.07368503510951996,1372.6706275436395,0.37267062754363955,0.08257989682642997,0.0796017846127214,0.8750921658886602,-0.1349833555347847
cfg_239|run=0,cfg_239,0,42,20000,0.9,0.0001,0.0001,0.0005,0.001,64,200000,2000,1,1,10000.0,0.0,5,200,1000,3.682168754874801e-05,0.009269582775511985,0.003970777062905719,5650.955644231112,1718.7712263750004,6545.380859375,5575.005340025817,1682.0603371297873,6294.32763671875,389.74320682741705,11.780199600727716,403.19110107421875,7.389056205749512,0.0,7.389056205749512,11.475026455027276,1.235588751263347,13.763066291809082,0.9668508109357231,0.12637741898722024,1.0914907455444336,15.897367027831132,0.17677704242067033,16.000526428222656,0.08414686694627702,0.010297844383490745,0.08454498648643494,1364.7135748350095,0.36471357483500944,0.08100448528551096,0.07780290538049497,0.8748028264114968,-0.13889288493098384
cfg_241|run=0,cfg_241,0,42,20000,0.9,0.001,5e-05,0.0001,0.0005,64,200000,2000,1,1,10000.0,0.0,5,200,1000,-0.00010529132920309703,0.009212945650080281,1.4459228043076804e-05,6433.799411470405,3144.230926249362,4655.6240234375,6384.153769185224,3116.2455972610096,4632.666015625,1198.7056446651957,33.95058626804736,1253.252197265625,7.389056205749512,0.0,7.389056205749512,1.6354775148991978,0.2560512952084889,1.7858247756958008,0.326716644954857,0.06419035540930883,0.32614293694496155,13.657717021915978,0.09141264777195017,13.605470657348633,0.07800188110959176,0.009003892341141696,0.07166118919849396,1369.4025850563683,0.36940258505636825,0.08193368973901127,0.07890501404559908,0.8746149070890205,-0.1354296133365469
cfg_497|run=0,cfg_497,0,42,20000,0.9,0.001,5e-05,0.0001,0.0005,64,200000,2000,1,1,10000.0,0.0,10,200,1000,-0.00010529132920309703,0.009212945650080281,1.4459228043076804e-05,6433.799411470405,3144.230926249362,4655.6240234375,6384.153769185224,3116.2455972610096,4632.666015625,1198.7056446651957,33.95058626804736,1253.252197265625,7.389056205749512,0.0,7.389056205749512,1.6354775148991978,0.2560512952084889,1.7858247756958008,0.326716644954857,0.06419035540930883,0.32614293694496155,13.657717021915978,0.09141264777195017,13.605470657348633,0.07800188110959176,0.009003892341141696,0.07166118919849396,1369.4025850563683,0.36940258505636825,0.08193368973901127,0.07890501404559908,0.8746149070890205,-0.1354296133365469
cfg_501|run=0,cfg_501,0,42,20000,0.9,0.001,5e-05,0.0005,0.0005,64,200000,2000,1,1,10000.0,0.0,10,200,1000,-2.2001181388418834e-08,0.009027911941171394,0.00322286902218138,4983.768437020029,2647.020617519458,3192.359130859375,4969.336840144383,2646.560076796035,3199.5576171875,1243.7994883340841,35.174176841885625,1297.6552734375,7.389056205749512,0.0,7.389056205749512,11.624004210437468,1.2629359707110088,14.009425163269043,1.1221292596163712,0.18905364746527567,1.0445185899734497,16.03399962472952,0.2700160658719974,15.833154678344727,0.07860270100258951,0.009231967154703535,0.0711163580417633,1342.1845150603563,0.3421845150603562,0.07650631286392828,0.07262725042621615,0.8743894112743129,-0.12788005002874836
cfg_383|run=0,cfg_383,0,42,20000,0.9,0.001,0.0001,0.0005,0.001,64,200000,2000,1,1,10000.0,-1.0,10,200,1000,-1.5183893233803855e-05,0.008511066089921764,0.001357768707635106,4630.858500198934,1775.7266915152911,4210.802734375,4565.852783575196,1757.7180941747959,4178.673828125,971.5352991562917,36.295922421603755,1023.4349365234375,5.896324936011918,0.1520468508088993,5.813095569610596,11.430760978168722,1.2181772968626055,14.983051300048828,1.2695353046449454,0.15387394337726415,1.264857292175293,18.33327169275417,0.23193345530023174,18.280597686767578,0.07821208010750554,0.01016917154725445,0.07288310676813126,1358.1812621786228,0.3581812621786227,0.07970600304001474,0.0763394035441337,0.874361004851737,-0.13073555759099598
cfg_455|run=0,cfg_455,0,42,20000,0.87,0.0001,5e-05,0.0005,0.001,64,200000,2000,1,1,10000.0,0.0,10,200,1000,-6.079867684699251e-05,0.009773623134906555,0.003001869125772811,5885.838327188373,1927.0769321712305,5941.52685546875,5925.9563558790205,1934.2983279932987,6234.89404296875,379.3992723886937,11.945520797740544,394.8509826660156,7.389056205749512,0.0,7.389056205749512,12.504479571287481,1.3968290824463818,13.030397415161133,1.1528276744032984,0.22982234783270905,0.8484864830970764,15.75362288591551,0.23315074804471936,15.51867389678955,0.07767842500145314,0.009499862104878937,0.07416899502277374,1356.7705935870038,0.3567705935870038,0.07942497836767237,0.07606110945146036,0.8738646595039622,-0.13585861265643862
cfg_096|run=0,cfg_096,0,42,20000,0.87,0.001,0.0001,0.0005,0.001,256,200000,2000,1,1,10000.0,-1.0,5,200,1000,0.0001637648706106034,0.009141037183756423,0.003599424206341695,4137.403214311791,785.4986786307667,3965.3759765625,4078.7819702963325,803.6869467592115,3759.47607421875,969.8956564807764,9.060498366572114,979.902099609375,6.165261156441214,0.24463964556136344,6.138652801513672,22.126940873659183,1.2869326644614085,22.992759704589844,1.2012242368130244,0.06639695397636647,1.2233185768127441,17.961122512817383,0.02508941719126219,17.911521911621094,0.08022032702199926,0.005920496466278081,0.07903764396905899,1366.7086074888362,0.36670860748883616,0.08140012580878042,0.07858041577683207,0.8715598058254743,-0.13945493663889175
cfg_058|run=0,cfg_058,0,42,20000,0.9,0.001,0.0001,0.0001,0.0005,256,200000,2000,1,1,2000.0,-1.0,5,200,1000,6.13897182253596e-05,0.009535228112150386,0.0034000817596141703,241.57612807473768,44.13876823161674,216.27793884277344,238.90932467247998,42.92938527029934,208.19931030273438,118.22305157487001,3.480897039249944,123.5141830444336,0.6894619524876807,0.019831224767495353,0.687048614025116,1.5551021248062398,0.11349560208331297,1.6786134243011475,1.2377067085579336,0.06688541816171271,1.200472354888916,17.434445542869007,0.11614111300743162,17.258995056152344,0.077451487126274,0.005768991831531279,0.07825880497694016,1361.134282139493,0.36113428213949295,0.08029357784388957,0.07729810495231614,0.871511293783228,-0.13521329213201327
