Date,^IRX
2011-08-24,3.968056268011111e-07
2011-08-25,3.968056268011111e-07
2011-08-26,3.968056268011111e-07
2011-08-29,1.9840775355994822e-07
2011-08-30,5.95193620611667e-07
2011-08-31,5.95193620611667e-07
2011-09-01,3.968056268011111e-07
2011-09-02,5.95193620611667e-07
2011-09-06,5.95193620611667e-07
2011-09-07,5.95193620611667e-07
2011-09-08,3.968056268011111e-07
2011-09-09,1.9840775355994822e-07
2011-09-12,1.9840775355994822e-07
2011-09-13,1.9840775355994822e-07
2011-09-14,1.9840775355994822e-07
2011-09-15,1.9840775355994822e-07
2011-09-16,1.9840775355994822e-07
2011-09-19,1.9840775355994822e-07
2011-09-20,1.9840775355994822e-07
2011-09-21,1.9840775355994822e-07
2011-09-22,1.9840775355994822e-07
2011-09-23,1.9840775355994822e-07
2011-09-26,1.9840775355994822e-07
2011-09-27,3.968056268011111e-07
2011-09-28,3.968056268011111e-07
2011-09-29,3.968056268011111e-07
2011-09-30,3.968056268011111e-07
2011-10-03,7.935717363238837e-07
2011-10-04,1.9840775355994822e-07
2011-10-05,1.9840775355994822e-07
2011-10-06,1.9840775355994822e-07
2011-10-07,1.9840775355994822e-07
2011-10-10,1.9840775355994822e-07
2011-10-11,1.9840775355994822e-07
2011-10-12,5.95193620611667e-07
2011-10-13,5.95193620611667e-07
2011-10-14,5.95193620611667e-07
2011-10-17,7.935717363238837e-07
2011-10-18,9.919400114632992e-07
2011-10-19,7.935717363238837e-07
2011-10-20,5.95193620611667e-07
2011-10-21,5.95193620611667e-07
2011-10-24,1.9840775355994822e-07
2011-10-25,5.95193620611667e-07
2011-10-26,5.95193620611667e-07
2011-10-27,3.968056268011111e-07
2011-10-28,3.968056268011111e-07
2011-10-31,1.9840775355994822e-07
2011-11-01,1.9840775355994822e-07
2011-11-02,1.9840775355994822e-07
2011-11-03,1.9840775355994822e-07
2011-11-04,1.9840775355994822e-07
2011-11-07,1.9840775355994822e-07
2011-11-08,1.9840775355994822e-07
2011-11-09,1.9840775355994822e-07
2011-11-10,1.9840775355994822e-07
2011-11-11,1.9840775355994822e-07
2011-11-14,1.9840775355994822e-07
2011-11-15,3.968056268011111e-07
2011-11-16,1.9840775355994822e-07
2011-11-17,1.9840775355994822e-07
2011-11-18,1.9840775355994822e-07
2011-11-21,1.9840775355994822e-07
2011-11-22,5.95193620611667e-07
2011-11-23,5.95193620611667e-07
2011-11-25,1.9840775355994822e-07
2011-11-28,3.968056268011111e-07
2011-11-29,5.95193620611667e-07
